index_code,date,open,close,low,high,volume,money,change
sh000036,2017-03-22,6873.330000,6896.570000,6815.660000,6909.060000,506479300.000000,9630770000.000000,-0.003478
sh000037,2017-03-22,6236.120000,6327.210000,6228.200000,6333.580000,463952800.000000,9250950000.000000,0.010896
sh000038,2017-03-22,4329.730000,4287.720000,4281.200000,4329.800000,1503764100.000000,16227280000.000000,-0.012813
sh000039,2017-03-22,3755.750000,3745.900000,3722.140000,3765.530000,384402900.000000,7166790000.000000,-0.007504
sh000040,2017-03-22,3274.270000,3268.000000,3232.230000,3274.980000,386725700.000000,4420800000.000000,-0.005907
sh000041,2017-03-22,2237.850000,2231.040000,2225.080000,2243.400000,661136500.000000,4619340000.000000,-0.008515
sh000043,2017-03-22,2186.190000,2189.850000,2176.970000,2197.380000,1857605500.000000,22621760000.000000,-0.002383
sh000044,2017-03-22,3416.380000,3416.820000,3401.400000,3432.280000,3980679500.000000,39453740000.000000,-0.004490
sh000045,2017-03-22,4851.660000,4867.430000,4834.790000,4875.000000,4513392000.000000,49309010000.000000,-0.001405
sh000046,2017-03-22,4061.400000,4068.240000,4045.570000,4080.500000,8494071400.000000,88762750000.000000,-0.002953
sh000047,2017-03-22,3078.630000,3076.090000,3062.510000,3089.310000,11783269700.000000,126108710000.000000,-0.005142
sh000090,2017-03-22,1184.270000,1183.720000,1177.800000,1187.880000,18930994500.000000,244191770000.000000,-0.004934
sh000104,2017-03-22,1666.540000,1666.480000,1653.750000,1668.580000,199867400.000000,1482220000.000000,-0.006652
sh000105,2017-03-22,4052.820000,4050.160000,4032.850000,4067.140000,672790500.000000,6720120000.000000,-0.005205
sh000106,2017-03-22,6391.720000,6400.280000,6372.170000,6427.910000,1642615800.000000,17761150000.000000,-0.002862
sh000107,2017-03-22,6261.670000,6314.920000,6248.130000,6320.170000,498805900.000000,7957900000.000000,0.004320
sh000108,2017-03-22,7717.770000,7753.910000,7674.620000,7767.030000,173504400.000000,2613860000.000000,-0.002698
sh000109,2017-03-22,10736.320000,10856.660000,10716.000000,10863.180000,298101200.000000,5628120000.000000,0.008000
sh000110,2017-03-22,5340.730000,5329.130000,5310.870000,5347.520000,92609600.000000,836930000.000000,-0.005514
sh000111,2017-03-22,6050.710000,6051.570000,6012.380000,6076.930000,262873400.000000,5166880000.000000,-0.005576
